name,code,emissions
Somalia,SOM,0.046570302693263836
Uganda,UGA,0.1350594837643948
Ukraine,UKR,5.085616219962497
Uruguay,URY,2.0132966571116984
Serbia,SRB,5.162338625839905
South Sudan,SSD,0.17041037130001474
Singapore,SGP,7.096495091076375
United States,USA,16.558679664323854
Uzbekistan,UZB,2.8102354847859115
Vietnam,VNM,2.162946588789357
South Africa,ZAF,8.090290042510969
